district,Year,Month,Season,rainfall,temperature,humidity,ph,organic_carbon,sand,clay,silt,soil_texture
Bharatpur,2021.0,1.0,Rabi,15.981440083073752,14.500948344631658,70.28278566941522,7.735500321128259,0.8720525911950796,44.87451725968808,27.175172041928484,27.9501141011255,Clay Loam
Dhaulpur,2021.0,1.0,Rabi,11.21903972638938,15.018434345573326,69.68983970291968,7.65528902278178,0.8302959001556367,43.90062774367972,26.544169653207046,29.555065959184624,Loam
Kota,2021.0,1.0,Rabi,6.413589115410781,17.202462529846528,62.05969331876712,7.331463260312297,0.8223356041420042,40.75124787601306,28.3780444551492,30.87063767850261,Clay Loam
Baran,2021.0,1.0,Rabi,7.956853993183265,17.594476776127912,58.11869412160148,7.310498511980818,0.787739078833932,41.22755819494017,27.577050555745654,31.195185078293044,Clay Loam
Jaipur,2021.0,1.0,Rabi,8.83774207136337,14.29142199946554,63.97172232375088,7.46853423827555,0.850231696900605,47.74610578424717,23.499579154705494,28.754366255945,Loam
Udaipur,2021.0,1.0,Rabi,0.0,17.63342089078,54.34535665700451,7.314971634484445,1.138689408865304,35.75171522385539,32.28990248750083,31.95832912715174,Clay Loam
Dausa,2021.0,1.0,Rabi,10.375474770672868,14.58409967307077,67.16343197476358,7.448940458503631,0.9096372867471324,50.66067520192447,23.252341799843208,26.087000638364948,Loam
Rajsamand,2021.0,1.0,Rabi,0.1709881061834141,16.109116345563738,53.69250018401527,7.344695299699076,0.9639301728259164,36.934399265106606,33.273771319131875,29.791692305330336,Clay Loam
Sawai Madhopur,2021.0,1.0,Rabi,9.44261490696387,15.417139123111172,67.81794899341969,7.391336939566251,0.9090809910014799,46.36155834187105,25.40509783395536,28.23333160894245,Loam
Karauli,2021.0,1.0,Rabi,11.923145361572027,15.118138443430624,67.77780385681521,7.323849110664443,0.9467935707025282,48.72619591043981,25.53555773220264,25.738271236433086,Loam
Ganganagar,2021.0,1.0,Rabi,3.487894370947201,13.038695376258232,65.48839429492828,7.925312236058909,0.7232944493530641,53.05909954215294,24.470290062624482,22.47062579400709,Sandy Clay Loam
Hanumangarh,2021.0,1.0,Rabi,3.133661040696416,13.207274574390745,67.60013908488936,7.991436931660312,0.6603707508788489,58.40545363080692,22.86831899146728,18.726261266006375,Sandy Clay Loam
Ajmer,2021.0,1.0,Rabi,6.450008003499879,15.65322120471246,54.77980357782539,7.483101302382153,0.7415093976612266,32.89577793930147,23.189653688001222,43.9144725913661,Loam
Alwar,2021.0,1.0,Rabi,14.040633584837284,13.944999629026416,68.654295049188,7.431135494000176,1.0529518117267935,45.67522844606345,24.966633472578202,29.358154120156932,Loam
Banswara,2021.0,1.0,Rabi,0.9811608338895716,20.426144405880773,53.79504610463055,7.279456939407893,0.998926055083475,36.036171122442354,27.306582231712007,36.657470083764224,Clay Loam
Barmer,2021.0,1.0,Rabi,0.0,16.897423764152038,39.72873936913107,7.8659423794938075,0.5208200033804808,51.100383491805815,23.530804202945724,25.36878991690401,Loam
Bhilwara,2021.0,1.0,Rabi,2.269876778855292,16.417630520931187,55.10967152222885,7.394414449709638,0.7807999519924316,35.24014643085083,27.321630816527723,37.43825725794166,Clay Loam
Bikaner,2021.0,1.0,Rabi,0.2514108140202069,13.993626923941244,55.88988581977106,8.03242181095953,0.5236890079298842,51.19230505500413,24.099762137057745,24.70795061253445,Loam
Bundi,2021.0,1.0,Rabi,6.147467948742387,16.6946654715109,61.7525927294308,7.345372898579913,0.8640630543862735,42.28414376430791,27.18739714901769,30.52879617131715,Clay Loam
Chittaurgarh,2021.0,1.0,Rabi,2.119922047668004,17.642934169471456,56.4129540967649,7.311872884947514,0.8865564126708907,33.46105777762949,35.197051820377986,31.341929188327544,Clay Loam
Churu,2021.0,1.0,Rabi,5.258635744540661,13.668699734925264,64.44607836510814,7.931710739193281,0.6130627937848321,54.65475317517449,23.528332957980957,21.81687519782054,Sandy Clay Loam
Dungarpur,2021.0,1.0,Rabi,0.0,19.755317970335017,53.92668356677384,7.359425496874465,0.9761361123706438,39.79373254356574,24.83362293082961,35.37252946199261,Loam
Jaisalmer,2021.0,1.0,Rabi,0.0011315716042342,15.073484608779909,42.13859544107478,8.024784734336027,0.4190765963466304,57.32920513117581,24.14245706687899,18.52837361519538,Sandy Clay Loam
