requested_district,requested_season,district,Season,rainfall,temperature,humidity,ph,organic_carbon,sand,clay,silt,soil_texture,crop,ph_match,soil_match,temp_match,rain_match,ph_match_score,soil_match_score,temp_match_score,rain_match_score,suitability_score,catalog_source,suitability_probability,in_district_evidence
Kota,Rabi,Kota,Rabi,19.652136623441187,20.426329422846656,51.11864552673699,7.331463260312297,0.8223356041420044,40.75124787601306,28.3780444551492,30.87063767850261,Clay Loam,Mustard,True,True,True,False,1.0,1.0,1.0,0.0,0.75,Project Crop Recommendation.docx table 1,0.8714187664733573,True
Kota,Rabi,Kota,Rabi,19.652136623441187,20.426329422846656,51.11864552673699,7.331463260312297,0.8223356041420044,40.75124787601306,28.3780444551492,30.87063767850261,Clay Loam,Garlic,True,True,True,False,1.0,1.0,1.0,0.0,0.75,Project Crop Recommendation.docx table 1,0.7736382673984348,True
Kota,Rabi,Kota,Rabi,19.652136623441187,20.426329422846656,51.11864552673699,7.331463260312297,0.8223356041420044,40.75124787601306,28.3780444551492,30.87063767850261,Clay Loam,Fenugreek,True,True,True,False,1.0,1.0,1.0,0.0,0.75,Project Crop Recommendation.docx table 1,0.6570347026024252,True
Kota,Kharif,Kota,Kharif,1011.0174971638886,28.27865787130449,68.46257821672482,7.331463260312297,0.8223356041420044,40.75124787601306,28.3780444551492,30.87063767850261,Clay Loam,Soybean,True,True,True,True,1.0,1.0,1.0,1.0,1.0,Project Crop Recommendation.docx table 1,0.6487329676273847,True
Kota,Kharif,Kota,Kharif,1011.0174971638886,28.27865787130449,68.46257821672482,7.331463260312297,0.8223356041420044,40.75124787601306,28.3780444551492,30.87063767850261,Clay Loam,Groundnut,True,True,True,False,1.0,1.0,1.0,0.0,0.75,Project Crop Recommendation.docx table 14,0.7236244455673194,False
Kota,Kharif,Kota,Kharif,1011.0174971638886,28.27865787130449,68.46257821672482,7.331463260312297,0.8223356041420044,40.75124787601306,28.3780444551492,30.87063767850261,Clay Loam,Sesame,True,True,True,False,1.0,1.0,1.0,0.0,0.75,Project Crop Recommendation.docx table 12,0.5420098074337422,False
Udaipur,Rabi,Udaipur,Rabi,11.911853688720843,20.308069519176293,46.18092031124813,7.314971634484445,1.138689408865304,35.75171522385539,32.28990248750083,31.95832912715174,Clay Loam,Garlic,True,True,True,False,1.0,1.0,1.0,0.0,0.75,Project Crop Recommendation.docx table 1,0.7789718595699153,True
Udaipur,Rabi,Udaipur,Rabi,11.911853688720843,20.308069519176293,46.18092031124813,7.314971634484445,1.138689408865304,35.75171522385539,32.28990248750083,31.95832912715174,Clay Loam,Kalonji,True,True,True,False,1.0,1.0,1.0,0.0,0.75,Project Crop Recommendation.docx table 1,0.5938330297426618,True
Udaipur,Rabi,Udaipur,Rabi,11.911853688720843,20.308069519176293,46.18092031124813,7.314971634484445,1.138689408865304,35.75171522385539,32.28990248750083,31.95832912715174,Clay Loam,Isabgol,True,False,True,False,1.0,0.0,1.0,0.0,0.5,Project Crop Recommendation.docx table 12,0.5653837361981603,True
Udaipur,Kharif,Udaipur,Kharif,1031.915170313435,26.307638541881328,72.72116546632773,7.314971634484445,1.138689408865304,35.75171522385539,32.28990248750083,31.95832912715174,Clay Loam,Ashwagandha,False,True,True,False,0.0,1.0,1.0,0.0,0.5,Project Crop Recommendation.docx table 1,0.5861377438615106,True
Udaipur,Kharif,Udaipur,Kharif,1031.915170313435,26.307638541881328,72.72116546632773,7.314971634484445,1.138689408865304,35.75171522385539,32.28990248750083,31.95832912715174,Clay Loam,Custard Apple,True,True,True,False,1.0,1.0,1.0,0.0,0.75,Project Crop Recommendation.docx table 16,0.5660655931891841,True
Udaipur,Kharif,Udaipur,Kharif,1031.915170313435,26.307638541881328,72.72116546632773,7.314971634484445,1.138689408865304,35.75171522385539,32.28990248750083,31.95832912715174,Clay Loam,Ginger,False,True,True,False,0.0,1.0,1.0,0.0,0.5,Project Crop Recommendation.docx table 10,0.5639490158546585,True
Jaisalmer,Rabi,Jaisalmer,Rabi,7.776807773575811,20.80988062342001,37.1529647768313,8.024784734336027,0.4190765963466304,57.32920513117581,24.14245706687899,18.52837361519538,Sandy Clay Loam,Mustard,True,True,True,False,1.0,1.0,1.0,0.0,0.75,Project Crop Recommendation.docx table 1,0.8538594367183042,True
